Product,₹ Current Price,₹ Price Before,Discount,Rating
ASUS Vivobook 16X Ryzen 7 Octa Core AMD Ryzen 7 5800H - (16 GB/512 GB SSD/Windows 11 Home) M1603QA-MB7...,61781,86990,28% off,
acer Extensa Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) EX 215-54/ EX 215-54-356V Thin and L...,34990,43999,20% off,
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL28 Thin and Light ...,30990,49990,38% off,
HP Laptop with Backlit Keyboard Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 15s-fr2512tu Lapt...,40890,51724,20% off,
acer Aspire 7 Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 165...,57990,89999,35% off,
MSI Core i9 13th Gen - (64 GB/4 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA GeForce RTX 4090) Titan G...,599990,671990,10% off,
ASUS Chromebook Flip Touch Celeron Dual Core - (4 GB/32 GB EMMC Storage/Chrome OS) C214MA-BU0704 Chrom...,16990,31990,46% off,
HP Ryzen 3 Quad Core 5300U - (8 GB/512 GB SSD/Windows 11 Home) 14s-fq1089au Thin and Light Laptop,38990,47716,18% off,
acer Predator Helios Neo 16 Core i7 13th Gen - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA Ge...,149990,164999,9% off,
acer Extensa Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) EX215-23 Notebook,42990,51999,17% off,
ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and L...,23990,33990,29% off,
Infinix INBook X2 Plus Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) XL25 Thin and Light Lapto...,40990,59990,31% off,
ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7-5700U - (16 GB/512 GB SSD/Windows 11 Home) KM513UA-L71...,63990,86990,26% off,
HP 15s Intel Core i3 11th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 11 Home) 15s-du3614TU Thin and Light...,40990,52112,21% off,
Infinix INBook X1 Neo Series Celeron Quad Core - (4 GB/128 GB SSD/Windows 11 Home) XL22 Thin and Light...,22990,29990,23% off,
realme Book(Slim) Intel Evo Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) RMNB1002 Thin and Lig...,47999,69999,31% off,
acer Aspire 7 Ryzen 5 Hexa Core 5500U - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce...,51990,81999,36% off,
HP Pavilion Ryzen 5 Hexa Core 5625U - (16 GB/512 GB SSD/Windows 11 Home) 14-EC1005AU Thin and Light La...,56999,69083,17% off,
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL28 Thin and Light ...,30990,49990,38% off,
APPLE 2022 MacBook AIR M2 - (16 GB/256 GB SSD/Mac OS Monterey) Z15W000Z5,139000,,,
HP Victus Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce GTX 1650/14...,64990,74829,13% off,
DELL Inspiron Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) INSPIRON 3511 Thin and Light Lapto...,58990,83022,28% off,
ASUS Chromebook Flip Touch Celeron Dual Core - (4 GB/32 GB EMMC Storage/Chrome OS) C214MA-BU0704 Chrom...,16990,31990,46% off,
APPLE 2023 MacBook Pro M2 Max - (32 GB/1 TB SSD/macOS Ventura) MPHG3HN/A,309900,,,
HP Pavilion Aero (2023) Ryzen 5 Hexa Core 7535U - (16 GB/512 GB SSD/Windows 11 Home) 13-BE2057AU Thin ...,68990,80314,14% off,
ASUS Vivobook 16 (2023) Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) M1605YA-MB541WS L...,59990,74990,20% off,
ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and L...,23990,33990,29% off,
ASUS Vivobook S 14 Intel EVO H-Series Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) S3402ZA-LY5...,65990,80990,18% off,
ASUS TUF Gaming F15 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce G...,58990,70990,16% off,
MSI Sword 15 Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 305...,85990,98390,12% off,
Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL05 Thin and Ligh...,33990,59390,42% off,
HP Victus Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX...,81990,95554,14% off,
ASUS TUF Gaming A15 with 90Whr Battery Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/6 G...,89990,107990,16% off,
ASUS Vivobook Go 15 OLED (2023) Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-LK...,47990,61990,22% off,
Infinix INBook X1 Neo Series Celeron Quad Core - (4 GB/128 GB SSD/Windows 11 Home) XL22 Thin and Light...,22990,29990,23% off,
ASUS Vivobook 14 (2022) Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1402ZA-EK521WS Thin and ...,56990,70990,19% off,
HP HP Pavilion Ryzen 5 Hexa Core AMD R5-4600H - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA ...,56990,76020,25% off,
ASUS TUF Gaming F15 Core i9 11th Gen - (16 GB/1 TB SSD/Windows 10/6 GB Graphics/NVIDIA GeForce RTX 306...,144990,188990,23% off,
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL30 Thin and...,24990,34990,28% off,
ASUS ROG Strix G15 Ryzen 9 Octa Core AMD R9-5900HX - (16 GB/1 TB SSD/Windows 10 Home/4 GB Graphics/NVI...,117990,162990,27% off,
ASUS Vivobook 15 OLED (2022) Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) X1505ZA-L1511WS Thi...,68990,85990,19% off,
APPLE 2023 MacBook Pro M2 Pro - (16 GB/1 TB SSD/macOS Ventura) MPHF3HN/A,239990,249900,3% off,
Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 81X800J3IN|81X800LGIN...,39990,68790,41% off,
HP Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15s- eq2223AU Thin and Light Laptop,44490,49631,10% off,
ASUS ROG Flow X16 (2022) with 90Whr Battery Ryzen 7 Octa Core 6800HS - (16 GB/1 TB SSD/Windows 11 Home...,151990,206990,26% off,
ASUS Vivobook Pro 15 Ryzen 7 Octa Core AMD R7-4800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/...,59990,82990,27% off,
ASUS Chromebook Flip Touch Celeron Dual Core - (4 GB/32 GB EMMC Storage/Chrome OS) C214MA-BU0704 Chrom...,16990,31990,46% off,
ASUS TUF Gaming F15 Core i9 11th Gen - (16 GB/1 TB SSD/Windows 10/6 GB Graphics/NVIDIA GeForce RTX 306...,144990,188990,23% off,
MSI Core i9 13th Gen - (64 GB/2 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA GeForce RTX 4090) Raider ...,559990,,,
ASUS Vivobook 15 OLED (2022) Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1505ZA-L1311WS Thin...,50990,66990,23% off,
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL28 Thin and Light ...,30990,49990,38% off,
APPLE 2022 MacBook AIR M2 - (8 GB/512 GB SSD/Mac OS Monterey) Z15Y000Z1,139000,,,
DELL G15 Ryzen 5 Hexa Core 5600H - (16 GB/512 GB SSD/Windows 10/4 GB Graphics/NVIDIA GeForce RTX 3050)...,74490,108000,31% off,
HP Pavilion Aero (2023) Ryzen 5 Hexa Core 7535U - (16 GB/512 GB SSD/Windows 11 Home) 13-BE2056AU Thin ...,68990,80314,14% off,
ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and L...,23990,33990,29% off,
ASUS Vivobook 15 Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ382WS Laptop,44990,60990,26% off,
ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS Laptop,38990,56990,31% off,
Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core AMD R5-5600H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphi...,68990,103490,33% off,
Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL05 Thin and Ligh...,33990,59390,42% off,
ASUS Vivobook 16 (2023) Ryzen 5 Hexa Core 7530U - (16 GB/512 GB SSD/Windows 11 Home) M1605YA-MB541WS L...,59990,74990,20% off,
MSI Alpha 15 AMD Advantage Edition Ryzen 7 Octa Core 5800H - (8 GB/512 GB SSD/Windows 11 Home/8 GB Gra...,79990,111990,28% off,
ASUS VivoBook Flip 14 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) TP470EA-EC302WS 2 in 1 Lapt...,44990,66990,32% off,
Infinix INBook X1 Neo Series Celeron Quad Core - (4 GB/128 GB SSD/Windows 11 Home) XL22 Thin and Light...,22990,29990,23% off,
GIGABYTE G5 KD Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3...,89990,151800,40% off,
ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7-5700U - (16 GB/512 GB SSD/Windows 11 Home) KM513UA-L71...,63990,86990,26% off,
HP Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 11 Home) 15s- eq1561AU Thin and Light Laptop,31590,45814,31% off,
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL28 Thin and Light ...,30990,49990,38% off,
ASUS ROG Flow X16 (2022) with 90Whr Battery Ryzen 7 Octa Core 6800HS - (16 GB/1 TB SSD/Windows 11 Home...,151990,206990,26% off,
ASUS ROG Strix SCAR 15 (2022) Core i9 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA...,281990,359990,21% off,
ASUS Vivobook Pro 15 Ryzen 7 Octa Core AMD R7-4800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/...,59990,82990,27% off,
ASUS Chromebook Flip Touch Celeron Dual Core - (4 GB/32 GB EMMC Storage/Chrome OS) C214MA-BU0704 Chrom...,16990,31990,46% off,
Lenovo IdeaPad 5 Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15IAL7 Laptop,127990,,,
ASUS Vivobook 15 Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1502ZA-EJ382WS Laptop,44990,60990,26% off,
ASUS Vivobook 15 OLED (2022) Core i3 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) X1505ZA-L1311WS Thin...,50990,66990,23% off,
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL28 Thin and Light ...,30990,49990,38% off,
ASUS ROG Zephyrus Duo 16 (2022) Dual Screen Laptop with 90Whr Battery Ryzen 9 Octa Core 6900HX - (32 G...,361990,431990,16% off,
APPLE 2022 MacBook AIR M2 - (8 GB/512 GB SSD/Mac OS Monterey) Z15Y000Z1,139000,,,
HP Pavilion Aero (2023) Ryzen 5 Hexa Core 7535U - (16 GB/512 GB SSD/Windows 11 Home) 13-BE2056AU Thin ...,68990,80314,14% off,
ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and L...,23990,33990,29% off,
HP Pavilion (2023) Eyesafe Intel Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home) 15-EG2039TU Thin ...,90990,106308,14% off,
ASUS Vivobook 15 Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) X515EA-EJ322WS Laptop,38990,56990,31% off,
Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core AMD R5-5600H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphi...,68990,103490,33% off,
Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL05 Thin and Ligh...,33990,59390,42% off,
HP 14s Intel Celeron Dual Core - (8 GB/256 GB SSD/Windows 11 Home) 14s- dq3032tu Thin and Light Laptop,29890,36865,18% off,
MSI Alpha 15 AMD Advantage Edition Ryzen 7 Octa Core 5800H - (8 GB/512 GB SSD/Windows 11 Home/8 GB Gra...,79990,111990,28% off,
ASUS VivoBook Flip 14 Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) TP470EA-EC302WS 2 in 1 Lapt...,44990,66990,32% off,
Infinix INBook X1 Neo Series Celeron Quad Core - (4 GB/128 GB SSD/Windows 11 Home) XL22 Thin and Light...,22990,29990,23% off,
ASUS Vivobook Go 15 (2023) Ryzen 5 Quad Core 7520U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ523WS...,49990,62990,20% off,
ASUS VivoBook K15 OLED Ryzen 7 Octa Core AMD R7-5700U - (16 GB/512 GB SSD/Windows 11 Home) KM513UA-L71...,63990,86990,26% off,
DELL Ryzen 7 Octa Core AMD R7-5800H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce R...,86990,121935,28% off,
Infinix INBook Y1 Plus Intel Core i3 10th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL28 Thin and Light ...,30990,49990,38% off,
ASUS VivoBook 16X Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home) M1603QA-MB711WS Thin an...,63990,86990,26% off,
DELL Alienware Core i9 12th Gen - (32 GB/1 TB HDD/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForc...,304990,350628,13% off,
MSI Core i7 12th Gen - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 4050) Thin G...,102990,115990,11% off,
ASUS Chromebook Flip Touch Celeron Dual Core - (4 GB/32 GB EMMC Storage/Chrome OS) C214MA-BU0704 Chrom...,16990,31990,46% off,
Lenovo IdeaPad Flex 5 Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14IAU7 Thin and Ligh...,79990,99290,19% off,
DELL G15 Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce RTX 3060/240 ...,138900,189620,26% off,
DELL Inspiron Ryzen 3 Dual Core 3250U - (8 GB/256 GB SSD/Windows 11 Home) INSPIRON 3515 Thin and Light...,35990,47695,24% off,
ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and L...,23990,33990,29% off,
acer Extensa Core i3 - (8 GB/256 GB SSD/Windows 11 Home) EX215-33 Notebook,36990,44999,17% off,
ASUS Vivobook S 15 OLED (2023) Intel EVO H-Series Core i7 13th Gen - (16 GB/512 GB SSD/Windows 11 Home...,105990,129990,18% off,
ASUS Vivobook Pro 16 OLED (2023) Core i9 13th Gen - (16 GB/1 TB SSD/Windows 11 Home/6 GB Graphics/NVID...,159990,194990,17% off,
Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL05 Thin and Ligh...,33990,59390,42% off,
ASUS Zenbook Flip 13 OLED Touch Panel Intel EVO Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) ...,87990,116990,24% off,
acer Extensa Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) EX 215-54 Thin and Light Laptop,32990,52990,37% off,
Lenovo IdeaPad Gaming 3 Ryzen 7 Octa Core AMD R7-5800H - (8 GB/512 GB SSD/Windows 11 Home/4 GB Graphic...,76990,103490,25% off,
Infinix INBook X1 Neo Series Celeron Quad Core - (4 GB/128 GB SSD/Windows 11 Home) XL22 Thin and Light...,22990,29990,23% off,
HP Pavilion Intel Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14-ek0074TU Thin and Light Lap...,74990,87095,13% off,
acer Extensa Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) EX 215-54-583M Thin and Light Laptop,42999,57999,25% off,
Infinix Y1 Plus Neo Intel Celeron Quad Core 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) XL30 Thin and...,24990,34990,28% off,
Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 81X800J3IN|81X800LGIN...,39990,68790,41% off,
MSI Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForce RTX 3070 Ti/360 Hz...,165990,227990,27% off,
Lenovo Athlon Dual Core 3050U - (4 GB/256 GB SSD/Windows 10 Home) E41-55 Thin and Light Laptop,19990,35000,42% off,
HP Pavilion Aero (2023) Ryzen 7 Octa Core 7735U - (16 GB/1 TB SSD/Windows 11 Home) 13-BE2047AU Thin an...,78990,91616,13% off,
MSI Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) Modern 14 C11M-030IN Thin and Light Laptop,45990,59990,23% off,
ASUS Vivobook GO 14 (2023) Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1404FA-NK323WS...,39438,50990,22% off,
Infinix INBook X2 Plus Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) XL25 Thin and Light Laptop,38990,54990,29% off,
ASUS Vivobook Go 15 (2023) Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) E1504FA-NJ323WS...,39990,50990,21% off,
ASUS Chromebook Flip Touch Celeron Dual Core - (4 GB/32 GB EMMC Storage/Chrome OS) C214MA-BU0704 Chrom...,16990,31990,46% off,
ASUS ROG Strix SCAR 15 Core i9 12th Gen - (32 GB/1 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA GeForc...,281990,362990,22% off,
Lenovo IdeaPad Gaming Ryzen 7 Octa Core 5800H - (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA...,97990,135690,27% off,
ASUS ROG Strix G15 (2022) with 90Whr Battery Ryzen 9 Octa Core 6900HX - (16 GB/1 TB SSD/Windows 11 Hom...,187990,244990,23% off,
ASUS VivoBook 14 (2021) Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) X415MA-BV011W Thin and L...,23990,33990,29% off,
ASUS Vivobook S14 OLED Intel EVO H-Series Core i5 12th Gen - (16 GB/512 GB SSD/Windows 11 Home) S3402Z...,70990,98990,28% off,
Lenovo IdeaPad Slim 3 Intel Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 15ITL6 Thin and Ligh...,56990,80290,29% off,
ASUS ROG Zephyrus Duo 16 Ryzen 9 16 Core 7945HX - (32 GB/2 TB SSD/Windows 11 Home/16 GB Graphics/NVIDI...,429990,479990,10% off,
Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen - (8 GB/256 GB SSD/Windows 11 Home) 15ITL05 Thin and Ligh...,33990,59390,42% off,
